loan_amnt,term,int_rate,dti,fico_range_low,revol_util,total_acc,loan_income_ratio,grade_encoded
10000.0,36,6.89,13.0,760.0,18.8,31.0,0.2714440825190011,0
14750.0,60,17.57,21.6,715.0,36.9,15.0,0.20774647887323944,3
10000.0,36,5.32,15.0,770.0,18.5,34.0,0.17857142857142858,0
2000.0,36,16.55,37.01,700.0,46.3,23.0,0.042328042328042326,3
19500.0,36,13.99,16.37,665.0,58.0,48.0,0.21428571428571427,2
30000.0,36,8.18,12.52,735.0,25.6,17.0,0.15789473684210525,1
24000.0,36,7.26,6.68,715.0,57.2,26.0,0.1,0
9600.0,36,11.22,9.29,665.0,96.1,50.0,0.096,1
1000.0,36,15.77,24.83,670.0,92.2,16.0,0.03125097659301853,3
15000.0,60,12.05,23.49,695.0,88.8,29.0,0.14563106796116504,2
5200.0,36,10.64,24.23,690.0,97.6,23.0,0.1368421052631579,1
20000.0,60,13.67,23.77,665.0,36.7,24.0,0.37735849056603776,2
10000.0,36,10.64,20.93,690.0,52.5,16.0,0.18518518518518517,1
6000.0,36,9.99,19.27,675.0,87.2,14.0,0.07792207792207792,1
6025.0,36,10.64,4.66,685.0,40.6,12.0,0.1205,1
20000.0,36,7.26,13.7,715.0,33.1,30.0,0.2857142857142857,0
22000.0,60,16.55,26.96,715.0,36.4,36.0,0.44,3
10000.0,60,13.99,31.56,665.0,47.3,27.0,0.28901734104046245,2
4000.0,36,11.49,25.09,685.0,46.6,8.0,0.19047619047619047,1
11400.0,60,18.99,18.0,660.0,71.6,26.0,0.38,4
8000.0,36,12.59,17.48,665.0,49.0,28.0,0.13793103448275862,2
10500.0,60,11.53,11.83,670.0,27.8,42.0,0.11797752808988764,1
14400.0,60,15.41,23.84,675.0,93.4,29.0,0.48,3
12000.0,36,11.99,26.78,690.0,85.6,25.0,0.2898550724637681,2
6000.0,36,13.67,32.87,705.0,45.7,33.0,0.15,2
10000.0,36,8.18,8.82,685.0,94.6,28.0,0.1416029453412631,1
9000.0,36,11.22,4.38,660.0,47.6,18.0,0.13043478260869565,1
15000.0,36,16.55,8.33,670.0,46.0,16.0,0.24390243902439024,3
25000.0,36,7.26,19.51,725.0,97.1,34.0,0.1736111111111111,0
15000.0,36,5.32,26.19,725.0,37.3,30.0,0.2112676056338028,0
18950.0,36,6.89,18.8,705.0,72.5,19.0,0.2786764705882353,0
6000.0,36,13.18,26.99,670.0,72.5,13.0,0.1,2
3200.0,36,14.48,19.71,685.0,96.7,12.0,0.05,2
6000.0,36,12.59,2.8,685.0,42.7,4.0,0.25,2
24000.0,36,12.59,8.12,675.0,62.4,8.0,0.3171247357293869,2
25000.0,36,13.67,18.16,695.0,53.9,9.0,0.35714285714285715,2
9600.0,36,14.48,25.14,675.0,44.9,34.0,0.11294117647058824,2
22625.0,60,18.99,24.73,685.0,77.3,19.0,0.2154761904761905,4
18000.0,36,12.05,7.11,695.0,53.8,26.0,0.09230769230769231,2
21000.0,60,12.59,26.33,705.0,59.6,16.0,0.42,2
32400.0,60,16.55,10.34,665.0,20.3,34.0,0.2745762711864407,3
35000.0,60,12.59,27.93,730.0,62.5,17.0,0.4666666666666667,2
20000.0,36,13.18,24.46,685.0,67.8,16.0,0.26666666666666666,2
16000.0,36,5.32,10.22,770.0,48.3,16.0,0.2,0
30000.0,60,12.59,13.92,710.0,8.3,44.0,0.375,2
12000.0,36,13.67,13.7,670.0,94.6,14.0,0.18461538461538463,2
6925.0,36,20.99,13.59,670.0,42.8,44.0,0.13066037735849056,4
22875.0,60,17.86,36.42,690.0,46.4,26.0,0.43990384615384615,3
10525.0,60,16.55,34.77,715.0,54.0,42.0,0.263125,3
